Name,Straße,Hausnummer
Allianz Bäckerei GmbH,Rosenbauerstraße,1
Bäckerei Danecker Vertriebs GmbH,Promenade,3
Bäckerei Filipp GmbH,Landstraße,15a
Bäckerei Filipp GmbH,Stahlstraße,2-4
Bäckerei Filipp GmbH,Griesmayrstraße,19
Bäckerei Franz Brandl GmbH,Bismarckstraße,6
Bäckerei Franz Brandl GmbH,Landstraße,48
Bäckerei Kandur GmbH,Am Anger,7a
Bäckerei Kandur GmbH,Aubrunnerweg,1a
Bäckerei Winkler GmbH,Landstraße,1
Bäckerei Winkler GmbH,Landstraße,27
Bäckerei Winkler GmbH,Landstraße,35b
Bäckerei Winkler GmbH,Hauptstraße,39
Bäckerei Winkler GmbH,Aubergstraße,35
Bäckerei Winkler GmbH,Leonfeldner Straße,133
Bäckerei Winkler GmbH,Leonfeldner Straße,209
Bäckerei Winkler GmbH,Leonfeldner Straße,73
Basak GmbH,Wiener Straße,"394, Tür 3"
Backhaus,Wiener Straße,168
Stern Bäckerei GmbH,Kapuzinerstraße,84e
TORTENMEHR,Bischofstraße,9
BILLA,Mozartstraße,7
BILLA,Poschacherstraße,34
BILLA,Wegscheider Straße,3
BILLA (Lentia 2000),Blütenstraße,15
BILLA,Lindengasse,16
Bäckerhaus,Altstadt,5
Franzesco (Bruno Baschinger),Im Südpark,176
GIMIS GASTRO GmbH,Hamerlingstraße,1
Bäckerei Heizinger,Marktplatz,20
Honeder Naturbackstube,Gruberstraße,17
Bäckerei (Name im Quelltext fehlend),Krankenhausstraße,7a
Bäckerei Honeder Naturbackstube,Stockhofstraße,6
Honeder Naturbackstube,Schwaigaustraße,60
Bäckerei Honeder Naturbackstube,Wiener Straße,477
Honeder Naturbackstube,Altenberger Straße,6
Honeder Naturbackstube,Dornacher Straße,17
Bäckerei Honeder Naturbackstube,Hauptstraße,54
Honeder Naturbackstube,Linke Brückenstraße,17
Marc Chocolatier,Harrachstraße,4
Konditorei Jindrak,Herrenstraße,22
Konditorei Jindrak,Marktplatz,23
Konditorei Jindrak,Am Pöstlingberg,12
Konditorei Jindrak,Blütenstraße,15
Konditorei Jindrak,Landstraße,70
Bäckerei (Name im Quelltext fehlend),Petzoldstraße,1
Konditorei Jindrak,Hauptstraße,35
Bäckerei (Name im Quelltext fehlend),Hofgasse,6
Bäckerei (Name im Quelltext fehlend),Lüfteneggerstraße,3
Der Tortenmacher (Heuschober),Dametzstraße,43a
Bäckerei (Name im Quelltext fehlend),Wiener Straße,473
Bäckerei (Name im Quelltext fehlend),Waldeggstraße,10
Bäckerei (Name im Quelltext fehlend),Landstraße,91
Bäckerei (Name im Quelltext fehlend),Magazingasse,10
Bäckerei (Name im Quelltext fehlend),Dornacher Straße,13
Bäckerei (Name im Quelltext fehlend),Fischerfeldstraße,37
Bäckerei (Name im Quelltext fehlend),Tungassingerstraße,2
Bäckerei (Name im Quelltext fehlend),Hamerlingstraße,44
Bäckerei (Name im Quelltext fehlend),Obere Donaulände,89
Bäckerei (Name im Quelltext fehlend),Prandtauerstraße,14c
BÄKO Österreich,Im Südpark,194
Bäckerei (Name im Quelltext fehlend),Voestalpine-Straße,3
Bäckerei Fenzl,Am Bindermichl,30
Bäckerei Fenzl,Einsteinstraße,7
Bäckerei Fenzl,Europastraße,12
Bäckerei Fenzl,Hafnerstraße,2
Bäckerei Fenzl,Marktplatz,26
Bäckerei Fenzl,Stadlerstraße,19
Bäckerei Fenzl,Wiener Straße,67
Bäckerei Fenzl,Wüstenrotplatz,2
Bäckerei Fenzl,Freistädter Straße,428
Bäckerei (Name im Quelltext fehlend),Freistädterstr.,403A
Bäckerei Fenzl,Hauptstraße,4
Bäckerei Fenzl,Hauptstraße,52
Bäckerei (Name im Quelltext fehlend),Pfarrgasse,17
Bäckerei (Name im Quelltext fehlend),Bäckermühlweg,61
Bäckerei (Name im Quelltext fehlend),Estermannstraße,22
